epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1099.56,2.03873,1.95461,1.27349,0.59302,0.43962,0.49995,0.27329,1.71836,1.5014,1.16584,0.000548721,0.000548721,0.000548721
2,2191.85,1.72309,1.41588,1.13048,0.51915,0.45001,0.46537,0.26874,1.63891,1.8875,1.12536,0.00104972,0.00104972,0.00104972
3,3289.19,1.67944,1.38781,1.10843,0.53523,0.49359,0.50643,0.29154,1.59049,1.37559,1.13064,0.00149571,0.00149571,0.00149571
4,4379.92,1.64769,1.35425,1.0937,0.52072,0.41727,0.44587,0.25007,1.70216,1.44195,1.17152,0.00141945,0.00141945,0.00141945
5,5467.23,1.62748,1.30064,1.08333,0.58371,0.55795,0.59131,0.33276,1.58709,1.33846,1.08863,0.00133693,0.00133693,0.00133693
6,6547.45,1.61119,1.28312,1.07877,0.60733,0.55867,0.60024,0.34261,1.57344,1.23365,1.09292,0.00125442,0.00125442,0.00125442
7,7636.79,1.60571,1.26526,1.0763,0.51891,0.51748,0.50371,0.28517,1.61424,1.40408,1.09217,0.0011719,0.0011719,0.0011719
8,8718.01,1.58131,1.226,1.06541,0.69205,0.58754,0.67558,0.38717,1.54399,1.12442,1.07817,0.00108938,0.00108938,0.00108938
9,9796,1.55183,1.20608,1.05873,0.69055,0.54833,0.64501,0.37136,1.54788,1.21875,1.0745,0.00100687,0.00100687,0.00100687
10,10888.3,1.54049,1.16922,1.04489,0.63843,0.55519,0.63522,0.37385,1.50374,1.15043,1.05862,0.000924352,0.000924352,0.000924352
11,11944.5,1.51227,1.17799,1.05414,0.66436,0.5858,0.66362,0.37771,1.55031,1.13899,1.06493,0.000841835,0.000841835,0.000841835
12,12992.8,1.51625,1.17274,1.05458,0.71448,0.60054,0.69999,0.41089,1.48903,1.13332,1.04896,0.000759318,0.000759318,0.000759318
13,14044.9,1.50071,1.16667,1.04326,0.69529,0.59942,0.70148,0.41573,1.45854,1.064,1.03729,0.000676802,0.000676802,0.000676802
14,15098.8,1.47886,1.1382,1.04372,0.72048,0.64864,0.74318,0.4309,1.49521,1.03958,1.0488,0.000594286,0.000594286,0.000594286
15,16163.7,1.46857,1.11232,1.03524,0.71429,0.63172,0.72753,0.42668,1.47565,1.03855,1.03924,0.000511769,0.000511769,0.000511769
16,17214.4,1.4591,1.10041,1.03278,0.72248,0.63316,0.73093,0.42791,1.47791,1.05582,1.04691,0.000429253,0.000429253,0.000429253
17,18270,1.44776,1.08682,1.03338,0.71638,0.64587,0.73869,0.43718,1.46888,1.01256,1.03775,0.000346736,0.000346736,0.000346736
18,19328.8,1.43801,1.07178,1.02687,0.73003,0.65118,0.75004,0.44523,1.46281,0.99755,1.03525,0.00026422,0.00026422,0.00026422
19,20388.6,1.43614,1.06903,1.02462,0.72866,0.65904,0.75424,0.44945,1.43626,0.98849,1.02879,0.000181703,0.000181703,0.000181703
20,21444.9,1.41815,1.05006,1.02019,0.72948,0.65959,0.75627,0.45226,1.43754,0.97559,1.03035,9.91865e-05,9.91865e-05,9.91865e-05
